"WORD_GERMAN","WORD_EN"
"  1950 - 1973 im Dezember.","1950 - 1973 in December."
"Jahre nach 1977 werden die Bestände vom BMVEL","Years after 1977, the stocks of BMELV"
"- Schafe:","Sheep"
"(Bundesministerium für Verbraucherschutz, Ernährung und","Federal Ministry of Consumer Protection, Food and"
"Landwirtschaft) geschätzt.","Agriculture) estimated."
"  1950 - 1997 im Dezember, 1998 im Juni, ab 1999 im Mai.","1950 - 1997 in December 1998 in June, from 1999 in May."
"  1950 - 1996 im Dezember, ab 1999 zweijährlich im Mai.","1950 - 1996 biennial in December, from 1999 in May."
"1965-1972: Kälber: Kälber unter 3 Monaten.","1965-1972: Calves: Calves under 3 months."
"Ab 1973: Kälber:","From 1973: Calves:"
"Jungvieh 3 Monate bis unter 1 Jahr.","Heifers 3 months to less than 1 year."
"Ziegen:","goats"
"  1950 - 1997 im Dezember, 1998 im November, ab 1999 im Mai.","1950 - 1997 in December, 1998 in November, from 1999 in May."
"1965-1972: Jungvieh unter 1 Jahr:","1965-1972: young cattle under 1 year old:"
"Schweine nach Gewichtsklassen unterteilt.","Pork divided by weight classes."
"- Pferde und Geflügel:","- Horses and poultry:"
"Kälber unter 6 Monaten (oder unter 220 kg Lebendgewicht).",""
"Jungvieh 6 Monate bis unter 1 Jahr.","Calves less than 6 months (or less than 220 kg live weight)."
"Mastschweine vor 1972:","Porkers before 1972:"
"Schweine werden nach Alter unterteilt, ab 1973 werden die","Pigs are divided by age, from 1973 to the"
"- Rinder und Schweine:","- Cattle and pigs:"
"- Ziegen und Bienen:","- Goats and bees:"
"(C)opyright Statistisches Bundesamt, Wiesbaden 2016","(Copyright Federal Statistical Office, Wiesbaden 2016"
"gezählt, ab 1977 überhaupt nicht mehr und 1975 sowie alle","counted from 1977 on no longer and 1975 as well as all"
"1970: Milchkühe: Einschließlich Ammen- und Mutterkühe.","1970: Dairy cows: Including Ammen- and suckler cows."
"1973: Jungvieh unter 1 Jahr:","1973: young cattle under 1 year old"
"Die Bestände der Ziegen werden ab 1973 nur noch alle 4 Jahre","The holdings by the goats are from 1973 only every 4 years"
"Ab 1977 werden die Bienen nicht mehr erhoben.","Starting in 1977, the bees are no longer collected."
"Erhebungszeitpunkte:","Survey dates"
